授業科目名,担当教員,役職,単位数,必修・選択・自由,開講年次,開講学期,実務経験,備考,シラバスURL
システム工学実験Ⅲ,桑田 精一,准教授,1.5,必須,３年,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28460701.html
システム工学実験Ⅳ,桑田 精一,准教授,1.5,必須,３年,後期後半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_28460801.html
システム工学特別演習Ⅰ,小野 貴彦,教授,2,必須,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420101.html
システム工学特別演習Ⅱ,小野 貴彦,教授,2,必須,１、２年生,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420201.html
システム工学特別演習Ⅲ,小野 貴彦,教授,2,必須,１、２年生,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420301.html
システム工学特別演習Ⅳ,小野 貴彦,教授,2,必須,１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68420401.html
システム推定学特論,小野 貴彦,教授,2,選択,１・２年次,後期前半,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_68410401.html
システム開発実践,小野 貴彦,教授,2,選択,3年生,年間授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_20421901.html
ジェンダーとセクシュアリティ,ヴェール ウルリケ,教授,2,選択,２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_114A1301.html
ジェンダー論Ⅰ,ヴェール ウルリケ,教授,2,選択,博士前期課程１、２年,前期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51340701.html
ジェンダー論Ⅱ,ヴェール ウルリケ,教授,2,選択,博士前期課程１、２年,後期授業,無, ,http://rsw.office.hiroshima-cu.ac.jp/OpenSyllabus/2023_51340801.html
